 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),  R.A.__(a-app), DEC_(a-app),  dRA*cosD, d(DEC)/dt, Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,   X_(sat-prim), Y_(sat-prim), SatPANG,  L_Ap_Sid_Time,  a-mass, mag_ex,    APmag,  S-brt,      Illu%,             delta,     deldot,     S-O-T,/r,     S-T-O,  T-O-M, MN_Illu%,    PsAng,   PsAMV,  Cnst,,RA_deg_ICRF,DEC_deg_ICRF,MJD
 2020-Jan-01 00:00, , , 19 58 09.77, -20 16 57.7,    19 59 17.28, -20 13 44.9,  85.10317,  24.04170,        n.a.,         n.a.,      n.a.,      n.a.,      62713.654,    10186.898,  84.469,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.28309,  2.69239493733919,  5.5509671,   17.8108,/T,    9.7196,   48.6,  29.9567,   77.527, 247.620,   Sgr,,299.54070833333327,-20.282694444444445,58849.0
 2020-Jan-02 00:00, , , 20 00 34.89, -20 07 20.5,    20 01 42.28, -20 04 04.2,  85.05150,  24.34794,        n.a.,         n.a.,      n.a.,      n.a.,      61093.827,    10478.084,  83.857,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.31634,  2.69555133751472,  5.3792411,   17.3805,/T,    9.4912,   59.8,  38.9224,   77.140, 247.411,   Sgr,,300.14537499999994,-20.12236111111111,58850.0
 2020-Jan-03 00:00, , , 20 02 59.77, -19 57 36.0,    20 04 07.04, -19 54 16.2,  84.99938,  24.65239,        n.a.,         n.a.,      n.a.,      n.a.,      59476.704,    10749.085,  83.240,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.34881,  2.69860856234891,  5.2075468,   16.9506,/T,    9.2627,   71.0,  48.2636,   76.746, 247.204,   Sgr,,300.74904166666664,-19.96,58851.0
 2020-Jan-04 00:00, , , 20 05 24.41, -19 47 44.2,    20 06 31.56, -19 44 20.9,  84.94696,  24.95502,        n.a.,         n.a.,      n.a.,      n.a.,      57862.383,    11000.021,  82.615,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.38050,  2.70156664675764,  5.0359411,   16.5212,/T,    9.0342,   82.3,  57.7219,   76.343, 246.999,   Sgr,,301.35170833333325,-19.795611111111114,58852.0
 2020-Jan-05 00:00, , , 20 07 48.81, -19 37 45.1,    20 08 55.84, -19 34 18.4,  84.89441,  25.25584,        n.a.,         n.a.,      n.a.,      n.a.,      56250.949,    11231.024,  81.983,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.41141,  2.70442565772448,  4.8644782,   16.0923,/T,    8.8056,   93.8,  67.0270,   75.932, 246.797,   Cap,,301.95337499999994,-19.629194444444444,58853.0
 2020-Jan-06 00:00, , , 20 10 12.97, -19 27 38.8,    20 11 19.88, -19 24 08.6,  84.84190,  25.55481,        n.a.,         n.a.,      n.a.,      n.a.,      54642.483,    11442.241,  81.343,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.44153,  2.70718569251876,  4.6932083,   15.6639,/T,    8.5771,  105.5,  75.8776,   75.512, 246.597,   Cap,,302.55404166666665,-19.46077777777778,58854.0
 2020-Jan-07 00:00, , , 20 12 36.89, -19 17 25.3,    20 13 43.69, -19 13 51.7,  84.78963,  25.85194,        n.a.,         n.a.,      n.a.,      n.a.,      53037.053,    11633.831,  80.694,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.47086,  2.70984687544066,  4.5221739,   15.2361,/T,    8.3486,  117.5,  83.9268,   75.081, 246.400,   Cap,,303.15370833333327,-19.290361111111114,58855.0
 2020-Jan-08 00:00, , , 20 15 00.58, -19 07 04.7,    20 16 07.26, -19 03 27.7,  84.73782,  26.14724,        n.a.,         n.a.,      n.a.,      n.a.,      51434.718,    11805.962,  80.035,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.49939,  2.71240935118649,  4.3514017,   14.8089,/T,    8.1201,  129.8,  90.7787,   74.638, 246.205,   Cap,,303.75241666666665,-19.11797222222222,58856.0
 2020-Jan-09 00:00, , , 20 17 24.02, -18 56 37.0,    20 18 30.60, -18 52 56.6,  84.68673,  26.44071,        n.a.,         n.a.,      n.a.,      n.a.,      49835.526,    11958.815,  79.366,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.52714,  2.71487327306209,  4.1808928,   14.3823,/T,    7.8917,  142.6,  96.0031,   74.183, 246.012,   Cap,,304.3500833333333,-18.94361111111111,58857.0
 2020-Jan-10 00:00, , , 20 19 47.23, -18 46 02.2,    20 20 53.71, -18 42 18.4,  84.63661,  26.73238,        n.a.,         n.a.,      n.a.,      n.a.,      48239.516,    12092.582,  78.684,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.55408,  2.71723878508637,  4.0106124,   13.9564,/T,    7.6634,  155.6,  99.1752,   73.715, 245.822,   Cap,,304.9467916666666,-18.767277777777778,58858.0
 2020-Jan-11 00:00, , , 20 22 10.21, -18 35 20.4,    20 23 16.57, -18 31 33.4,  84.58771,  27.02228,        n.a.,         n.a.,      n.a.,      n.a.,      46646.718,    12207.461,  77.990,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.58023,  2.71950599877114,  3.8404822,   13.5312,/T,    7.4351,  168.8,  99.9386,   73.231, 245.635,   Cap,,305.54254166666664,-18.589,58859.0
 2020-Jan-12 00:00, , , 20 24 32.96, -18 24 31.7,    20 25 39.21, -18 20 41.4,  84.54021,  27.31044,        n.a.,         n.a.,      n.a.,      n.a.,      45057.155,    12303.661,  77.281,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.60559,  2.72167496782581,  3.6703812,   13.1067,/T,    7.2070,  175.7,  98.0787,   72.731, 245.450,   Cap,,306.1373333333333,-18.408805555555553,58860.0
 2020-Jan-13 00:00, , , 20 26 55.47, -18 13 36.0,    20 28 01.62, -18 09 42.5,  84.49421,  27.59687,        n.a.,         n.a.,      n.a.,      n.a.,      43470.847,    12381.399,  76.557,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.63014,  2.72374566623955,  3.5001571,   12.6829,/T,    6.9789,  162.8,  93.5840,   72.212, 245.268,   Cap,,306.73112499999996,-18.226666666666667,58861.0
 2020-Jan-14 00:00, , , 20 29 17.77, -18 02 33.5,    20 30 23.79, -17 58 36.8,  84.44972,  27.88160,        n.a.,         n.a.,      n.a.,      n.a.,      41887.816,    12440.903,  75.814,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.65389,  2.72571797569042,  3.3296464,   12.2599,/T,    6.7510,  149.0,  86.6702,   71.672, 245.088,   Cap,,307.32404166666663,-18.04263888888889,58862.0
 2020-Jan-15 00:00, , , 20 31 39.83, -17 51 24.1,    20 32 45.74, -17 47 24.3,  84.40662,  28.16461,        n.a.,         n.a.,      n.a.,      n.a.,      40308.087,    12482.409,  75.051,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.67684,  2.72759168616007,  3.1586990,   11.8378,/T,    6.5233,  135.2,  77.7576,   71.110, 244.910,   Cap,,307.91595833333326,-17.856694444444447,58863.0
 2020-Jan-16 00:00, , , 20 34 01.68, -17 40 07.9,    20 35 07.46, -17 36 05.0,  84.36471,  28.44589,        n.a.,         n.a.,      n.a.,      n.a.,      38731.693,    12506.163,  74.266,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.69899,  2.72936650974075,  2.9871982,   11.4166,/T,    6.2958,  121.4,  67.4105,   70.522, 244.736,   Cap,,308.507,-17.668861111111113,58864.0
 2020-Jan-17 00:00, , , 20 36 23.31, -17 28 44.9,    20 37 28.97, -17 24 38.9,  84.32375,  28.72541,        n.a.,         n.a.,      n.a.,      n.a.,      37158.675,    12512.422,  73.454,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.72033,  2.73104210396235,  2.8150729,   10.9964,/T,    6.0685,  107.8,  56.2616,   69.906, 244.563,   Cap,,309.09712499999995,-17.479138888888887,58865.0
 2020-Jan-18 00:00, , , 20 38 44.72, -17 17 15.2,    20 39 50.26, -17 13 06.2,  84.28348,  29.00311,        n.a.,         n.a.,      n.a.,      n.a.,      35589.086,    12501.450,  72.614,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.74087,  2.73261809933449,  2.6423004,   10.5772,/T,    5.8414,   94.4,  44.9457,   69.258, 244.394,   Cap,,309.6863333333333,-17.287555555555556,58866.0
 2020-Jan-19 00:00, , , 20 41 05.92, -17 05 38.9,    20 42 11.34, -17 01 26.8,  84.24362,  29.27895,        n.a.,         n.a.,      n.a.,      n.a.,      34022.985,    12473.521,  71.742,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.76060,  2.73409412644433,  2.4689026,   10.1592,/T,    5.6147,   81.2,  34.0532,   68.574, 244.227,   Cap,,310.27466666666663,-17.09413888888889,58867.0
 2020-Jan-20 00:00, , , 20 43 26.91, -16 53 55.9,    20 44 32.21, -16 49 40.7,  84.20395,  29.55287,        n.a.,         n.a.,      n.a.,      n.a.,      32460.441,    12428.914,  70.832,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.77951,  2.73546983979851,  2.2949393,    9.7424,/T,    5.3884,   68.3,  24.1020,   67.850, 244.062,   Cap,,310.86212499999993,-16.89886111111111,58868.0
 2020-Jan-21 00:00, , , 20 45 47.68, -16 42 06.4,    20 46 52.87, -16 37 48.1,  84.16428,  29.82479,        n.a.,         n.a.,      n.a.,      n.a.,      30901.530,    12367.919,  69.879,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.79762,  2.73674493735035,  2.1204999,    9.3270,/T,    5.1625,   55.5,  15.5234,   67.079, 243.900,   Cap,,311.44866666666667,-16.701777777777778,58869.0
